Date,Day_of_Week,High_Low_Temp_From_12PM_to_6PM,Humidity_From_12PM_to_6PM,Weather_Description,CaryHigh_ Status,Shift_Notes,Traffic_Density,ChestnutPanBread_Waste_Count,MorningBread_Waste_Count,MochaBread_Waste_Count,MagicMochaBread_Waste_Count,CoffeeBun_Waste_Count,GarlicStick_Waste_Count,CreamCheeseGarlicBread_Waste_Count,SaltButterRoll_Waste_Count,PlusMilkRoll_Waste_Count,ButterCreamBread_Waste_Count,TaroButterCreamBread_Waste_Count,Soboro_Waste_Count,CustardCreamSoboro_Waste_Count,CustardBun_Waste_Count,RedBeanBread_Waste_Count,RedBeanMilkCreamBread_Waste_Count,PremiumWalnutRedBeanBread_Waste_Count,MilkCreamBread_Waste_Count,TaroCreamBun_Waste_Count,HoneyCheeseMochiPancake_Waste_Count,CornCheeseDonut_Waste_Count,MilkSoftBread_Waste_Count,MilkyPuffyBread_Waste_Count,StrawberrySoftBread_Waste_Count,HoneydewSoftBread_Waste_Count,BananaSoftBread_Waste_Count,CreamCheeseWalnutBread_Waste_Count,CranberryCreamCheeseBun_Waste_Count,ChocoDippedWaffle_Waste_Count,MangoCreamDonut_Waste_Count,MatchaCreamDonut_Waste_Count,UbeCreamDonut_Waste_Count,VanillaCreamDonut_Waste_Count,ChocoCreamDonut_Waste_Count,SweetRiceRedBeanDonut_Waste_Count,RedBeanDonut_Waste_Count,TwistDonut_Waste_Count,StrawberryCreamCroissant_Waste_Count,ChocoHazelnutFillingCroissant_Waste_Count,ChocoDippedCroissant_Waste_Count,AlmondCroissant_Waste_Count,JalapenoCheeseCroissant_Waste_Count,PainAuRaisin_Waste_Count,PainAuChocolat_Waste_Count,ChocolateAvalanche_Waste_Count,MontBlancPastry_Waste_Count,GuavaDanish_Waste_Count,SweetBlueberryCreamCheeseDanish_Waste_Count,SpinachFetaCheeseDanish_Waste_Count,GreekYogurtCherryDanish_Waste_Count,MixedBerryDanish_Waste_Count,MushroomOnionCheeseDanish_Waste_Count,CaramelApplePie_Waste_Count,YuzuPie_Waste_Count,PortugueseEggTart_Waste_Count,CreamCheeseTart_Waste_Count,Croquette_Waste_Count,KimchiCroquette_Waste_Count,CurryCroquette_Waste_Count,ChocoFilledCookie_Waste_Count,ChocoShellBread_Waste_Count,ChocoPretzelPastry_Waste_Count,CustardAlmondPretzelPastry_Waste_Count,PlainCloudBagel_Waste_Count,EverythingSeasoningCloudBagel_Waste_Count
2026-02-18,Wednesday,68 / 61 degrees Fahrenheit,0.39,Moderate Rain,OPEN,"Super slow day, barely any customers.",3,1,2,0,5,5,1,2,0,0,5,2,5,1,24,4,0,0,5,2,4,4,4,2,1,0,2,4,1,0,4,4,0,11,5,1,1,5,5,5,0,1,0,5,13,4,5,9,5,8,4,4,2,5,4,2,5,10,0,5,5,0,1,5,1,2
2026-02-21,Thursday,72 / 66 degrees Fahrenheit,0.56,Clear Sky,NO_STUDENT_DAY,"BOGO on croissants today, busy morning.",3,0,1,1,2,2,1,1,0,0,1,2,1,2,7,0,2,0,1,2,2,2,0,1,0,2,0,2,1,1,0,0,0,1,1,9,2,4,1,0,1,2,1,2,3,1,2,8,1,3,0,2,0,1,2,1,2,2,0,0,0,2,2,2,0,2
2026-02-24,Friday,89 / 83 degrees Fahrenheit,0.51,Moderate Rain,NO_STUDENT_DAY,"Normal day, nothing unusual.",2,4,2,1,5,4,5,4,0,4,2,4,2,2,24,0,1,2,4,5,4,2,5,4,5,0,4,0,7,2,2,0,4,11,0,20,4,16,0,4,5,2,5,4,13,4,0,8,2,11,1,2,4,5,4,0,0,10,5,1,5,1,2,5,0,5
2026-02-27,Saturday,72 / 67 degrees Fahrenheit,0.5,Clear Sky,NO_STUDENT_DAY,Steady flow throughout the day.,2,5,1,3,5,2,4,5,2,3,3,3,1,3,17,1,3,1,4,4,5,1,0,2,3,2,4,2,0,2,5,2,4,9,5,15,1,14,4,7,2,2,4,4,6,3,2,6,5,3,4,3,1,3,0,2,5,7,5,3,3,5,5,1,3,0
2026-03-02,Sunday,95 / 86 degrees Fahrenheit,0.77,Moderate Rain,NO_STUDENT_DAY,,1,4,0,5,4,0,5,1,4,5,1,0,4,2,14,5,5,4,5,0,2,5,5,4,2,5,5,4,9,0,5,0,1,11,5,12,1,2,4,1,5,5,0,4,2,5,2,0,0,7,0,2,2,2,4,1,1,10,4,5,5,1,1,1,0,5
2026-03-05,Tuesday,80 / 74 degrees Fahrenheit,0.35,Moderate Rain,NO_STUDENT_DAY,"Normal day, nothing unusual.",2,2,4,2,5,0,4,2,5,5,1,0,4,2,24,2,5,4,5,2,4,2,1,4,4,0,1,4,9,2,5,2,5,5,0,16,2,0,5,11,5,0,5,5,9,2,1,15,1,12,1,5,2,5,5,5,5,2,5,0,5,5,0,2,4,0
2026-03-08,Wednesday,67 / 59 degrees Fahrenheit,0.41,Overcast Clouds,NO_STUDENT_DAY,"Rained most of the afternoon, low traffic.",3,1,1,1,4,2,4,4,2,1,2,3,2,5,10,0,3,0,1,1,5,5,5,3,4,2,0,3,0,2,4,0,3,5,5,8,4,12,5,5,0,5,1,3,0,4,4,10,4,3,5,0,5,3,5,2,5,6,0,1,0,0,2,3,0,0
2026-03-11,Thursday,77 / 66 degrees Fahrenheit,0.44,Moderate Rain,NO_STUDENT_DAY,"Normal day, nothing unusual.",1,5,5,4,5,5,5,1,4,5,0,4,5,4,11,0,5,2,1,4,4,1,2,0,5,2,5,5,7,0,4,2,1,1,4,2,5,8,5,11,5,0,0,2,4,1,5,8,0,12,5,1,5,1,1,2,1,10,0,2,1,1,5,2,1,0
2026-03-14,Friday,65 / 56 degrees Fahrenheit,0.71,Clear Sky,NO_STUDENT_DAY,"BOGO on croissants today, busy morning.",3,2,1,0,0,1,0,0,2,1,2,0,2,0,7,1,1,2,2,0,1,2,0,2,0,2,2,2,2,1,2,0,0,3,1,6,2,1,1,5,1,0,0,1,4,0,0,2,1,4,2,2,2,2,1,1,2,4,1,1,2,2,1,0,2,0
2026-03-17,Saturday,93 / 81 degrees Fahrenheit,0.67,High Humidity,NO_STUDENT_DAY,"BOGO on croissants today, busy morning.",3,1,1,0,1,1,1,1,1,2,0,1,1,1,10,1,1,0,2,1,0,0,0,0,1,0,2,2,2,0,2,0,2,4,2,5,2,1,1,2,2,1,2,0,2,2,1,5,0,4,2,0,0,2,1,0,0,2,2,1,0,1,2,0,1,2
2026-03-20,Sunday,86 / 74 degrees Fahrenheit,0.22,Moderate Rain,NO_STUDENT_DAY,"Normal day, nothing unusual.",3,5,2,0,1,2,5,2,2,2,0,1,1,5,24,4,0,1,5,5,0,0,5,5,1,4,4,4,7,1,2,2,5,7,5,20,0,1,1,2,5,0,5,0,5,4,5,18,4,12,4,4,2,1,5,0,2,8,0,2,5,5,5,4,5,5
2026-03-23,Tuesday,77 / 73 degrees Fahrenheit,0.2,Clear Sky,NO_STUDENT_DAY,"Super slow day, barely any customers.",2,1,1,2,2,2,0,0,4,5,4,1,1,4,23,5,1,5,5,5,2,0,4,5,0,4,0,4,1,2,5,4,5,8,5,20,4,12,0,8,0,2,1,5,9,5,2,2,4,1,1,4,5,4,5,0,4,5,5,2,1,2,1,0,5,5
2026-03-26,Wednesday,93 / 84 degrees Fahrenheit,0.43,Moderate Rain,NO_STUDENT_DAY,,1,5,1,1,0,1,2,1,1,5,1,5,0,1,24,5,4,4,5,5,4,5,5,5,5,5,2,5,7,1,4,0,4,9,5,12,2,1,2,11,0,2,4,4,0,0,2,12,0,12,0,5,5,5,4,4,5,10,5,0,4,5,5,1,2,5
2026-03-29,Thursday,95 / 91 degrees Fahrenheit,0.49,Moderate Rain,NO_STUDENT_DAY,,2,2,5,0,5,5,1,0,1,5,4,4,5,5,24,1,2,2,2,4,4,2,5,5,0,5,5,2,1,2,0,5,5,8,2,11,5,5,2,1,5,5,1,2,5,5,5,16,1,12,5,0,2,5,4,5,2,2,5,5,5,5,5,0,5,5
2026-04-01,Friday,65 / 56 degrees Fahrenheit,0.4,Moderate Rain,OPEN,"BOGO on croissants today, busy morning.",2,1,2,0,0,0,0,0,1,0,2,2,2,2,0,2,1,2,0,2,2,0,0,0,2,2,0,2,4,0,2,1,2,5,0,9,2,6,2,4,0,2,0,1,6,2,0,7,2,6,2,2,1,2,2,2,2,1,0,2,0,1,0,2,2,1
2026-04-04,Saturday,87 / 75 degrees Fahrenheit,0.75,Clear Sky,NO_STUDENT_DAY,"Super slow day, barely any customers.",3,0,1,2,4,5,1,4,0,1,4,2,0,4,1,4,5,2,1,4,0,2,1,0,2,0,5,5,7,1,1,0,2,9,5,5,5,16,4,11,0,0,0,2,4,1,5,18,4,1,2,1,2,0,0,1,4,10,5,4,0,0,4,5,5,0
2026-04-07,Sunday,83 / 76 degrees Fahrenheit,0.67,Moderate Rain,NO_STUDENT_DAY,"Super slow day, barely any customers.",3,4,0,5,2,1,5,4,1,5,5,0,5,2,2,5,5,5,5,5,0,4,4,0,5,4,2,2,0,2,0,2,1,11,5,20,0,14,1,0,2,5,2,5,2,5,4,18,5,2,1,0,5,4,0,2,1,0,1,0,2,2,5,4,5,4
2026-04-10,Tuesday,74 / 65 degrees Fahrenheit,0.76,Clear Sky,NO_STUDENT_DAY,Steady flow throughout the day.,2,5,2,2,0,2,3,3,5,3,3,2,1,3,22,3,2,4,2,0,5,3,0,3,4,1,4,2,5,0,0,2,5,4,2,14,4,13,1,11,3,2,3,0,11,2,4,13,2,10,0,0,5,5,3,2,4,10,1,0,1,4,5,3,0,1
2026-04-13,Wednesday,76 / 66 degrees Fahrenheit,0.82,Scattered Clouds,OPEN,Steady flow throughout the day.,1,5,1,5,4,2,2,4,0,5,1,5,2,4,14,5,2,1,0,0,5,1,4,5,4,5,0,2,5,5,4,1,5,5,5,20,1,4,1,1,4,1,5,4,1,5,2,15,5,1,5,5,2,2,1,5,5,10,1,2,5,1,0,1,1,1
2026-04-16,Thursday,82 / 73 degrees Fahrenheit,0.5,Clear Sky,OPEN,"Busy weekend rush, sold out of several items.",2,1,4,0,0,2,3,5,5,3,4,3,3,4,2,1,2,5,0,3,3,5,4,2,1,4,5,4,2,1,3,4,0,1,4,4,2,5,1,5,5,1,2,4,4,0,2,6,5,8,2,1,5,2,4,4,0,8,5,1,4,4,1,1,5,4
2026-04-19,Friday,91 / 87 degrees Fahrenheit,0.74,Moderate Rain,OPEN,Steady flow throughout the day.,3,0,0,5,5,2,5,1,5,4,5,5,0,4,24,5,2,5,2,4,1,5,4,2,4,0,5,0,2,4,4,4,4,4,2,20,1,14,5,7,5,2,4,1,13,2,5,18,0,7,1,4,0,2,4,1,1,1,0,2,4,5,4,1,1,2
2026-04-22,Saturday,75 / 68 degrees Fahrenheit,0.7,High Humidity,NO_STUDENT_DAY,"Rained most of the afternoon, low traffic.",3,4,3,3,2,3,0,0,3,4,3,1,1,4,11,0,0,2,3,4,5,5,3,2,4,0,0,3,2,2,5,2,3,5,0,12,0,6,2,8,2,0,3,4,7,4,2,3,1,1,3,2,2,4,2,1,1,9,4,3,4,0,0,0,1,5
2026-04-25,Sunday,81 / 70 degrees Fahrenheit,0.3,Light Rain,NO_STUDENT_DAY,"Busy weekend rush, sold out of several items.",2,1,2,5,2,1,4,5,5,2,5,2,5,5,23,4,5,5,2,4,0,2,2,5,0,4,5,2,0,5,4,2,5,11,5,9,5,1,5,9,1,5,5,5,12,4,1,9,0,12,5,0,1,0,4,2,4,2,4,5,1,4,5,5,4,5
2026-04-28,Tuesday,81 / 74 degrees Fahrenheit,0.56,Clear Sky,NO_STUDENT_DAY,"Normal day, nothing unusual.",3,3,4,3,2,1,3,4,2,4,2,5,5,5,20,5,2,4,3,1,1,2,4,2,1,2,2,5,3,5,5,3,2,7,2,17,5,8,2,1,4,5,4,3,6,2,1,9,0,4,5,0,2,3,5,2,5,7,1,1,4,2,4,5,2,1
2026-05-01,Wednesday,72 / 68 degrees Fahrenheit,0.64,Moderate Rain,NO_STUDENT_DAY,"Busy weekend rush, sold out of several items.",1,1,5,1,0,0,4,2,5,4,0,5,1,0,23,1,4,5,4,4,5,1,2,2,2,5,0,0,9,1,5,5,5,0,1,18,1,1,4,9,1,5,2,0,0,2,5,4,2,5,4,5,5,5,4,1,5,9,2,1,0,2,1,5,4,5
2026-05-04,Thursday,65 / 56 degrees Fahrenheit,0.71,High Humidity,NO_STUDENT_DAY,"Busy weekend rush, sold out of several items.",2,5,1,1,4,5,3,3,4,2,0,3,5,0,5,1,3,2,1,0,2,3,1,3,2,2,2,4,9,0,2,5,2,11,1,1,5,3,3,4,1,3,5,4,11,2,5,3,5,4,2,4,1,1,1,3,1,7,5,4,2,3,5,4,3,4
2026-05-07,Friday,86 / 81 degrees Fahrenheit,0.54,Scattered Clouds,NO_STUDENT_DAY,"Busy weekend rush, sold out of several items.",3,5,2,0,4,0,0,4,4,1,4,4,1,1,10,4,3,0,5,1,5,4,3,0,4,3,0,3,2,4,3,3,4,0,4,14,5,9,5,0,3,2,0,5,3,4,0,1,3,5,5,0,4,0,0,3,0,4,3,1,1,5,5,5,3,2
